Ref_Date,GEO,PROD,AREA,EST,Vector,Coordinate,Value
2011,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220966,5.1.2.2,5361434.00000000
2012,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220966,5.1.2.2,6298860.00000000
2013,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220966,5.1.2.2,6222025.00000000
2014,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220966,5.1.2.2,6123397.00000000
2015,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220966,5.1.2.2,5651910.00000000
2007,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220972,5.1.2.3,0.00000000
2008,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220972,5.1.2.3,350588.00000000
2009,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220972,5.1.2.3,447974.00000000
2010,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220972,5.1.2.3,494707.00000000
2011,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220972,5.1.2.3,498093.00000000
2012,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220972,5.1.2.3,585183.00000000
2013,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220972,5.1.2.3,578045.00000000
2014,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220972,5.1.2.3,568882.00000000
2015,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220972,5.1.2.3,525079.00000000
2007,Prairie provinces,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220978,5.1.3.2,0.00000000
2008,Prairie provinces,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220978,5.1.3.2,74500.00000000
2009,Prairie provinces,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220978,5.1.3.2,x
2010,Prairie provinces,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220978,5.1.3.2,F
2011,Prairie provinces,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220978,5.1.3.2,x
2012,Prairie provinces,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220978,5.1.3.2,716805.00000000
2013,Prairie provinces,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220978,5.1.3.2,x
2014,Prairie provinces,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220978,5.1.3.2,1135658.00000000
2015,Prairie provinces,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220978,5.1.3.2,x
2007,Prairie provinces,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220984,5.1.3.3,0.00000000
2008,Prairie provinces,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220984,5.1.3.3,6921.00000000
2009,Prairie provinces,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220984,5.1.3.3,x
2010,Prairie provinces,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220984,5.1.3.3,F
2011,Prairie provinces,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220984,5.1.3.3,x
2012,Prairie provinces,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220984,5.1.3.3,66593.00000000
2013,Prairie provinces,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220984,5.1.3.3,x
2014,Prairie provinces,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220984,5.1.3.3,105506.00000000
2015,Prairie provinces,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220984,5.1.3.3,x
2007,Prairie provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220990,5.1.4.2,0.00000000
2008,Prairie provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220990,5.1.4.2,F
2009,Prairie provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220990,5.1.4.2,x
2010,Prairie provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220990,5.1.4.2,F
2011,Prairie provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220990,5.1.4.2,x
2012,Prairie provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220990,5.1.4.2,82150.00000000
2013,Prairie provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220990,5.1.4.2,x
2014,Prairie provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220990,5.1.4.2,F
2015,Prairie provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220990,5.1.4.2,x
2007,Prairie provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220996,5.1.4.3,0.00000000
2008,Prairie provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220996,5.1.4.3,F
2009,Prairie provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220996,5.1.4.3,x
2010,Prairie provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220996,5.1.4.3,F
2011,Prairie provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220996,5.1.4.3,x
2012,Prairie provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220996,5.1.4.3,7632.00000000
2013,Prairie provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220996,5.1.4.3,x
2014,Prairie provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220996,5.1.4.3,F
2015,Prairie provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220996,5.1.4.3,x
2007,Prairie provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221002,5.1.5.2,0.00000000
2008,Prairie provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221002,5.1.5.2,3228300.00000000
2009,Prairie provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221002,5.1.5.2,4345160.00000000
2010,Prairie provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221002,5.1.5.2,4548168.00000000
2011,Prairie provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221002,5.1.5.2,4908280.00000000
2012,Prairie provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221002,5.1.5.2,5499905.00000000
2013,Prairie provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221002,5.1.5.2,5184388.00000000
2014,Prairie provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221002,5.1.5.2,4947339.00000000
2015,Prairie provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221002,5.1.5.2,4450434.00000000
2007,Prairie provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221008,5.1.5.3,0.00000000
2008,Prairie provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221008,5.1.5.3,299919.00000000
2009,Prairie provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221008,5.1.5.3,403678.00000000
2010,Prairie provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221008,5.1.5.3,422538.00000000
2011,Prairie provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221008,5.1.5.3,455994.00000000
2012,Prairie provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221008,5.1.5.3,510958.00000000
2013,Prairie provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221008,5.1.5.3,481645.00000000
2014,Prairie provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221008,5.1.5.3,459623.00000000
2015,Prairie provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221008,5.1.5.3,413459.00000000
2007,Prairie provinces,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221014,5.1.6.1,0.00000000
2008,Prairie provinces,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221014,5.1.6.1,825.00000000
2009,Prairie provinces,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221014,5.1.6.1,730.00000000
2010,Prairie provinces,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221014,5.1.6.1,840.00000000
2011,Prairie provinces,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221014,5.1.6.1,680.00000000
2012,Prairie provinces,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221014,5.1.6.1,816.00000000
2013,Prairie provinces,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221014,5.1.6.1,989.00000000
2014,Prairie provinces,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221014,5.1.6.1,934.00000000
2015,Prairie provinces,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221014,5.1.6.1,854.00000000
2007,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221020,5.2.1.1,0.00000000
2008,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221020,5.2.1.1,445.00000000
2009,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221020,5.2.1.1,420.00000000
2010,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221020,5.2.1.1,410.00000000
2011,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221020,5.2.1.1,400.00000000
2012,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221020,5.2.1.1,395.00000000
2013,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221020,5.2.1.1,390.00000000
2014,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221020,5.2.1.1,385.00000000
2015,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221020,5.2.1.1,375.00000000
2007,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221026,5.2.2.2,0.00000000
2008,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221026,5.2.2.2,10813850.00000000
2009,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221026,5.2.2.2,11375230.00000000
2010,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221026,5.2.2.2,9836980.00000000
2011,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221026,5.2.2.2,9138085.00000000
2012,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221026,5.2.2.2,9434610.00000000
2013,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221026,5.2.2.2,9317301.00000000
2014,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221026,5.2.2.2,9279153.00000000
2015,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221026,5.2.2.2,9297120.00000000
2007,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221032,5.2.2.3,0.00000000
2008,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221032,5.2.2.3,1004639.00000000
2009,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221032,5.2.2.3,1056793.00000000
2010,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221032,5.2.2.3,913885.00000000
2011,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221032,5.2.2.3,848956.00000000
2012,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221032,5.2.2.3,876504.00000000
2013,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221032,5.2.2.3,865605.00000000
2014,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221032,5.2.2.3,862061.00000000
2015,Prairie provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221032,5.2.2.3,863730.00000000
2007,Prairie provinces,Specialized greenhouse flowers and plants,Glass,Square feet,v52221038,5.2.3.2,0.00000000
2008,Prairie provinces,Specialized greenhouse flowers and plants,Glass,Square feet,v52221038,5.2.3.2,440500.00000000
2009,Prairie provinces,Specialized greenhouse flowers and plants,Glass,Square feet,v52221038,5.2.3.2,377360.00000000
2010,Prairie provinces,Specialized greenhouse flowers and plants,Glass,Square feet,v52221038,5.2.3.2,360565.00000000
2011,Prairie provinces,Specialized greenhouse flowers and plants,Glass,Square feet,v52221038,5.2.3.2,684210.00000000
2012,Prairie provinces,Specialized greenhouse flowers and plants,Glass,Square feet,v52221038,5.2.3.2,373215.00000000
2013,Prairie provinces,Specialized greenhouse flowers and plants,Glass,Square feet,v52221038,5.2.3.2,633346.00000000
2014,Prairie provinces,Specialized greenhouse flowers and plants,Glass,Square feet,v52221038,5.2.3.2,664925.00000000
2015,Prairie provinces,Specialized greenhouse flowers and plants,Glass,Square feet,v52221038,5.2.3.2,x
2007,Prairie provinces,Specialized greenhouse flowers and plants,Glass,Square metres,v52221044,5.2.3.3,0.00000000
2008,Prairie provinces,Specialized greenhouse flowers and plants,Glass,Square metres,v52221044,5.2.3.3,40924.00000000
2009,Prairie provinces,Specialized greenhouse flowers and plants,Glass,Square metres,v52221044,5.2.3.3,35058.00000000
2010,Prairie provinces,Specialized greenhouse flowers and plants,Glass,Square metres,v52221044,5.2.3.3,33498.00000000
2011,Prairie provinces,Specialized greenhouse flowers and plants,Glass,Square metres,v52221044,5.2.3.3,63565.00000000
2012,Prairie provinces,Specialized greenhouse flowers and plants,Glass,Square metres,v52221044,5.2.3.3,34673.00000000
2013,Prairie provinces,Specialized greenhouse flowers and plants,Glass,Square metres,v52221044,5.2.3.3,58840.00000000
2014,Prairie provinces,Specialized greenhouse flowers and plants,Glass,Square metres,v52221044,5.2.3.3,61774.00000000
2015,Prairie provinces,Specialized greenhouse flowers and plants,Glass,Square metres,v52221044,5.2.3.3,x
2007,Prairie provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221050,5.2.4.2,0.00000000
2008,Prairie provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221050,5.2.4.2,1008550.00000000
2009,Prairie provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221050,5.2.4.2,625720.00000000
2010,Prairie provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221050,5.2.4.2,787300.00000000
2011,Prairie provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221050,5.2.4.2,382770.00000000
2012,Prairie provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221050,5.2.4.2,515910.00000000
2013,Prairie provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221050,5.2.4.2,486843.00000000
2014,Prairie provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221050,5.2.4.2,676863.00000000
2015,Prairie provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221050,5.2.4.2,x
2007,Prairie provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221056,5.2.4.3,0.00000000
2008,Prairie provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221056,5.2.4.3,93697.00000000
2009,Prairie provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221056,5.2.4.3,58131.00000000
2010,Prairie provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221056,5.2.4.3,73143.00000000
2011,Prairie provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221056,5.2.4.3,35560.00000000
2012,Prairie provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221056,5.2.4.3,47930.00000000
2013,Prairie provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221056,5.2.4.3,45229.00000000
2014,Prairie provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221056,5.2.4.3,62883.00000000
2015,Prairie provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221056,5.2.4.3,x
2007,Prairie provinces,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221062,5.2.5.2,0.00000000
2008,Prairie provinces,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221062,5.2.5.2,9364800.00000000
2009,Prairie provinces,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221062,5.2.5.2,10372150.00000000
2010,Prairie provinces,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221062,5.2.5.2,8689115.00000000
2011,Prairie provinces,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221062,5.2.5.2,8071105.00000000
2012,Prairie provinces,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221062,5.2.5.2,8545485.00000000
2013,Prairie provinces,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221062,5.2.5.2,8197112.00000000
2014,Prairie provinces,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221062,5.2.5.2,7937365.00000000
2015,Prairie provinces,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221062,5.2.5.2,8119644.00000000
2007,Prairie provinces,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221068,5.2.5.3,0.00000000
2008,Prairie provinces,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221068,5.2.5.3,870018.00000000
2009,Prairie provinces,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221068,5.2.5.3,963604.00000000
2010,Prairie provinces,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221068,5.2.5.3,807245.00000000
2011,Prairie provinces,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221068,5.2.5.3,749830.00000000
2012,Prairie provinces,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221068,5.2.5.3,793901.00000000
2013,Prairie provinces,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221068,5.2.5.3,761536.00000000
2014,Prairie provinces,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221068,5.2.5.3,737405.00000000
2015,Prairie provinces,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221068,5.2.5.3,754339.00000000
2007,Prairie provinces,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221074,5.2.6.1,0.00000000
2008,Prairie provinces,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221074,5.2.6.1,2850.00000000
2009,Prairie provinces,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221074,5.2.6.1,2828.00000000
2010,Prairie provinces,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221074,5.2.6.1,2805.00000000
2011,Prairie provinces,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221074,5.2.6.1,2550.00000000
2012,Prairie provinces,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221074,5.2.6.1,2375.00000000
2013,Prairie provinces,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221074,5.2.6.1,3442.00000000
2014,Prairie provinces,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221074,5.2.6.1,2883.00000000
2015,Prairie provinces,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221074,5.2.6.1,2783.00000000
2007,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220961,6.1.1.1,0.00000000
2008,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220961,6.1.1.1,105.00000000
2009,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220961,6.1.1.1,105.00000000
2010,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220961,6.1.1.1,120.00000000
2011,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220961,6.1.1.1,130.00000000
2012,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220961,6.1.1.1,135.00000000
2013,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220961,6.1.1.1,135.00000000
2014,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220961,6.1.1.1,130.00000000
2015,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220961,6.1.1.1,125.00000000
2007,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220967,6.1.2.2,0.00000000
2008,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220967,6.1.2.2,27825300.00000000
2009,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220967,6.1.2.2,27134935.00000000
2010,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220967,6.1.2.2,29265235.00000000
2011,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220967,6.1.2.2,29286170.00000000
2012,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220967,6.1.2.2,28438275.00000000
2013,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220967,6.1.2.2,29988001.00000000
2014,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220967,6.1.2.2,30596409.00000000
2015,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220967,6.1.2.2,29268515.00000000
2007,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220973,6.1.2.3,0.00000000
2008,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220973,6.1.2.3,2585054.00000000
2009,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220973,6.1.2.3,2520917.00000000
2010,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220973,6.1.2.3,2718828.00000000
2011,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220973,6.1.2.3,2720773.00000000
2012,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220973,6.1.2.3,2642001.00000000
2013,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220973,6.1.2.3,2785975.00000000
2014,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220973,6.1.2.3,2842498.00000000
2015,British Columbia,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220973,6.1.2.3,2719133.00000000
2007,British Columbia,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220979,6.1.3.2,0.00000000
2008,British Columbia,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220979,6.1.3.2,25499500.00000000
2009,British Columbia,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220979,6.1.3.2,25198920.00000000
2010,British Columbia,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220979,6.1.3.2,27829075.00000000
2011,British Columbia,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220979,6.1.3.2,28676630.00000000
2012,British Columbia,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220979,6.1.3.2,26921580.00000000
2013,British Columbia,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220979,6.1.3.2,29269038.00000000
2014,British Columbia,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220979,6.1.3.2,29058176.00000000
2015,British Columbia,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220979,6.1.3.2,28115864.00000000
2007,British Columbia,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220985,6.1.3.3,0.00000000
2008,British Columbia,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220985,6.1.3.3,2368980.00000000
2009,British Columbia,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220985,6.1.3.3,2341055.00000000
2010,British Columbia,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220985,6.1.3.3,2585405.00000000
2011,British Columbia,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220985,6.1.3.3,2664145.00000000
2012,British Columbia,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220985,6.1.3.3,2501096.00000000
2013,British Columbia,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220985,6.1.3.3,2719181.00000000
2014,British Columbia,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220985,6.1.3.3,2699592.00000000
2015,British Columbia,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220985,6.1.3.3,2612048.00000000
2007,British Columbia,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220991,6.1.4.2,0.00000000
2008,British Columbia,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220991,6.1.4.2,543400.00000000
2009,British Columbia,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220991,6.1.4.2,152955.00000000
2010,British Columbia,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220991,6.1.4.2,F
2011,British Columbia,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220991,6.1.4.2,27150.00000000
2012,British Columbia,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220991,6.1.4.2,F
2013,British Columbia,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220991,6.1.4.2,F
2014,British Columbia,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220991,6.1.4.2,346572.00000000
2015,British Columbia,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220991,6.1.4.2,x
2007,British Columbia,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220997,6.1.4.3,0.00000000
2008,British Columbia,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220997,6.1.4.3,50483.00000000
2009,British Columbia,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220997,6.1.4.3,14210.00000000
2010,British Columbia,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220997,6.1.4.3,F
2011,British Columbia,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220997,6.1.4.3,2522.00000000
2012,British Columbia,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220997,6.1.4.3,F
2013,British Columbia,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220997,6.1.4.3,F
2014,British Columbia,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220997,6.1.4.3,32198.00000000
2015,British Columbia,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220997,6.1.4.3,x
2007,British Columbia,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221003,6.1.5.2,0.00000000
2008,British Columbia,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221003,6.1.5.2,F
2009,British Columbia,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221003,6.1.5.2,1783060.00000000
2010,British Columbia,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221003,6.1.5.2,1274650.00000000
2011,British Columbia,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221003,6.1.5.2,582390.00000000
2012,British Columbia,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221003,6.1.5.2,1096345.00000000
2013,British Columbia,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221003,6.1.5.2,631123.00000000
2014,British Columbia,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221003,6.1.5.2,1191661.00000000
